期号,开奖号码,百位,十位,个位
26004,019,0,1,9
26005,476,4,7,6
26006,244,2,4,4
26007,353,3,5,3
26008,252,2,5,2
26009,265,2,6,5
26010,667,6,6,7
26011,647,6,4,7
26012,241,2,4,1
26013,513,5,1,3
26014,050,0,5,0
26015,532,5,3,2
26016,582,5,8,2
26017,945,9,4,5
26018,494,4,9,4
26019,223,2,2,3
26020,676,6,7,6
26021,559,5,5,9
26022,678,6,7,8
26023,784,7,8,4
26024,911,9,1,1
26025,029,0,2,9
26026,099,0,9,9
26027,126,1,2,6
26028,270,2,7,0
26029,003,0,0,3
26030,134,1,3,4
26031,142,1,4,2
26032,452,4,5,2
26033,119,1,1,9
26034,052,0,5,2
26035,213,2,1,3
26036,762,7,6,2
26037,420,4,2,0
26038,467,4,6,7
26039,450,4,5,0
26040,425,4,2,5
26041,901,9,0,1
26042,854,8,5,4
26043,765,7,6,5
26044,589,5,8,9
26045,181,1,8,1
26046,291,2,9,1
26047,936,9,3,6
26048,612,6,1,2
26049,110,1,1,0
26050,689,6,8,9
26051,302,3,0,2
26052,277,2,7,7
26053,755,7,5,5
26054,217,2,1,7
26055,107,1,0,7
26056,477,4,7,7
26057,264,2,6,4
26058,543,5,4,3
26059,794,7,9,4
26060,943,9,4,3
26061,429,4,2,9
26062,294,2,9,4
26063,517,5,1,7
26064,604,6,0,4
26065,057,0,5,7
26066,934,9,3,4
26067,695,6,9,5
26068,706,7,0,6
26069,908,9,0,8
26070,484,4,8,4
26071,261,2,6,1
26072,245,2,4,5
26073,504,5,0,4
26074,487,4,8,7
26075,816,8,1,6
26076,863,8,6,3
26077,112,1,1,2
26078,049,0,4,9
26079,233,2,3,3
26080,802,8,0,2
26081,827,8,2,7
26082,942,9,4,2
26083,506,5,0,6
26084,456,4,5,6
26085,118,1,1,8
26086,382,3,8,2
26087,911,9,1,1
26088,608,6,0,8
26089,922,9,2,2
26090,816,8,1,6
26091,537,5,3,7
26092,870,8,7,0
26093,518,5,1,8
26094,418,4,1,8
26095,022,0,2,2
26096,689,6,8,9
26097,818,8,1,8
26098,513,5,1,3
26099,877,8,7,7
26100,414,4,1,4
26101,584,5,8,4
26102,420,4,2,0
26103,661,6,6,1
