规则ID,规则名称,触发期号,触发号码,下期1号码,下期2号码,下期3号码,1期命中,2期命中,3期命中
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024002,669,729,705,806,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024007,633,423,265,437,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024017,659,430,953,868,否,是,是
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024028,662,094,935,060,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024038,676,228,736,315,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024050,634,340,310,478,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024068,642,451,671,213,是,是,是
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024070,671,213,977,258,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024076,655,336,397,931,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024093,647,679,257,129,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024094,679,257,129,389,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024098,620,190,936,594,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024112,630,242,075,099,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024125,649,323,214,573,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024132,652,741,640,035,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024134,640,035,227,982,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024160,690,468,164,304,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024192,676,681,137,725,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024193,681,137,725,056,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024205,651,818,892,281,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024209,676,449,054,089,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024242,623,955,863,741,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024270,699,795,275,833,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024277,684,221,060,248,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024286,621,192,839,989,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024300,666,435,516,336,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024308,654,539,603,067,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024310,603,067,754,095,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024314,672,802,789,386,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024350,672,657,292,703,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2024351,657,292,703,916,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025004,634,085,898,141,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025013,606,679,942,104,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025014,679,942,104,027,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025022,638,591,762,486,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025033,606,261,778,617,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025036,617,131,847,932,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025048,640,004,806,905,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025077,625,000,657,500,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025079,657,500,403,417,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025089,658,159,135,317,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025094,649,068,385,542,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025113,635,375,206,320,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025118,621,315,912,120,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025132,689,645,748,458,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025133,645,748,458,113,否,否,否
1,"规则1: 百位=6 → 后两位∈{50,51,53}",2025144,666,267,897,321,否,否,否
